,Date,BTC,BCH,LTC,ETH,EUR,CHF,GBP,RUB,YEN,SEK,Gold,Silver,Palladium,Platinum,OIL,MSCI,FTSE 100,NASDAQ,DAX,SMI
0,01.01.2021,29260.25,339.55,125.54,729.72,1.2212,0.8851,1.3671,73.79,103.2,8.2078,1898.1,26.36,2448.25,1068.4,,2690.04,,,,
1,31.12.2020,28987.6,343.04,124.07,738.87,1.2213,0.8851,1.3673,73.79,103.24,8.2148,1896.4875,26.3584,2447.6599,1065.9478,50.86,2686.27,6555.82,12852.963,,
2,30.12.2020,28911.0,355.75,127.52,748.17,1.2295,0.8809999999999999,1.3622,74.1376,103.17,8.1964,1893.3682,26.61,2362.4824,1065.8424,50.36,2682.66,6602.65,12900.03,13750.99,10701.23
3,29.12.2020,26893.11,348.55,126.17,724.33,1.2247,0.8843,1.35,73.861,103.56,8.1937,1877.9918,26.1788,2327.6477,1049.3517,50.55,2678.81,6502.11,12909.858999999999,13873.35,10618.71
4,28.12.2020,26584.87,358.09,129.01,726.74,1.2214,0.8884,1.3449,73.4843,103.78,8.2569,1871.19,26.16,2323.77,1031.0,,2661.2,,12813.969,13779.05,10495.13
5,27.12.2020,26748.79,346.94,131.15,688.57,,,,,,,,,,,,,,,,
6,26.12.2020,26662.16,327.9,132.75,648.2,,,,,,,,,,,,,,,,
7,25.12.2020,24405.52,309.56,121.3,618.6,1.2204,0.8889,1.3548,74.01,103.48,8.2318,1875.825,25.85,2349.1299,1023.52,,2659.4,,,,
8,24.12.2020,23397.91,287.9,106.81,605.39,1.2186,0.8906,1.3555,73.816,103.63,8.2479,1876.5649,25.84,2345.1299,1023.89,50.43,2651.75,6495.75,12668.195,,
9,23.12.2020,23290.58,282.06,102.75,596.59,1.2185,0.8878,1.3492,74.893,103.55,8.2725,1872.0759,25.53,2323.564,1014.6239,51.7,2643.74,6453.16,12733.749,13456.63,10402.89
10,22.12.2020,23439.64,310.09,108.71,622.69,1.2161,0.8896,1.3359999999999999,75.842,103.63,8.3487,1859.56,25.1224,2314.2915,1001.9995,50.64,2647.63,6416.32,12715.482,13311.02,10331.98
11,21.12.2020,23144.47,319.67,107.2,618.45,1.2242,0.8855,1.3463,74.558,103.3,8.2352,1876.21,26.1633,2308.1567,1009.2593,50.36,2665.71,6529.18,12575.597,13398.22,10433.98
12,20.12.2020,23361.43,309.56,107.59,650.9,,,,,,,,,,,,,,,,
13,19.12.2020,23987.87,309.56,107.59,650.9,,,,,,,,,,,,,,,,
14,18.12.2020,22900.5,309.56,107.59,650.9,1.2255,0.8832,1.3519999999999999,73.16,103.31,8.2512,1880.66,25.768,2360.8108,1036.0653,52.54,2675.2,6551.06,12786.923,13649.66,10543.55
15,17.12.2020,22787.21,307.0,101.71,640.88,1.2266,0.8843,1.3582,72.855,103.1,8.2664,1885.8693,26.05,2340.4192,1044.2129,51.59,2655.82,6570.91,12741.64,13691.49,10486.03
16,16.12.2020,21214.51,304.35,91.29,629.01,1.2197,0.8855,1.3507,73.1667,103.48,8.3533,1864.1456,25.3358,2326.6245,1034.3658,50.91,2644.9,6513.32,12607.871000000001,13416.29,10381.52
17,15.12.2020,19424.94,290.44,81.92,588.87,1.2151,0.8856,1.3461,72.8381,103.66,8.3682,1853.46,24.4829,2317.8916,1036.4965,51.26,2620.38,6531.83,12565.283000000001,13216.49,10359.81
18,14.12.2020,19195.75,270.72,81.27,586.09,1.2143,0.8863,1.3322,73.6456,104.03,8.4,1827.1699,23.8176,2292.4248,1007.3605,50.02,2624.17,6546.75,12427.864,13224.26,10425.1
19,13.12.2020,18109.46,260.57,72.95,549.35,,,,,,,,,,,,,,,,
20,12.12.2020,18805.15,268.17,76.89,570.76,,,,,,,,,,,,,,,,
21,11.12.2020,18109.46,260.57,72.95,549.35,1.2111,0.8893,1.3223,72.9031,104.01,8.4563,1839.0272,23.9122,2318.5408,1008.8905,50.73,2629.67,6599.76,12327.07,13255.24,10379.89
22,10.12.2020,18344.21,267.04,75.09,563.78,1.2136,0.8858,1.3293,73.0,104.2,8.4428,1835.31,23.9495,2330.7473,1026.4551,51.64,2626.33,6564.29,12268.472,13341.68,10462.51
23,09.12.2020,18512.17,268.8,77.44,575.89,1.2081,0.8892,1.3396,73.574,104.21,8.4721,1839.11,23.9212,2265.1631,1000.7055,49.38,2641.62,6558.82,12626.97,13344.14,10412.84
24,08.12.2020,18765.05,270.07,77.82,565.84,1.2101,0.889,1.3353,73.332,104.15,8.4735,1871.36,24.56,2309.907,1022.5,49.3,2634.48,6555.39,12574.843,13248.02,10387.44
25,07.12.2020,19080.75,284.67,83.19,588.55,1.2108,0.8906,1.3376,73.6425,104.06,8.3959,1863.69,24.505,2331.1389,1021.2574,49.29,2639.26,6550.23,12523.567,13255.78,10375.02
26,06.12.2020,19134.58,283.49,82.31,595.47,,,,,,,,,,,,,,,,
27,05.12.2020,19007.59,282.92,82.67,592.22,,,,,,,,,,,,,,,,
28,04.12.2020,18822.61,283.44,81.53,580.77,1.212,0.8921,1.3437,73.998,104.14,8.4465,1837.61,24.1656,2343.6021,1054.512,49.27,2620.29,6490.27,12479.913999999999,13230.61,10369.09
29,03.12.2020,19461.0,291.43,88.85,615.31,1.214,0.8909,1.3452,74.2575,103.83,8.4256,1840.36,24.0655,2301.6426,1029.4187,48.22,2616.34,6463.39,12469.156,13304.83,10429.88
30,02.12.2020,19159.5,292.68,87.03,598.28,1.2115,0.8942,1.3363,74.9625,104.4,8.4632,1831.01,24.1018,2399.1101,1014.4584,47.79,2612.2,6384.73,12390.578000000001,13341.91,10423.41
31,01.12.2020,19042.97,294.82,87.96,595.22,1.207,0.8997,1.3415,75.7647,104.3,8.4787,1814.8685,24.0021,2406.0044,999.9916,47.0,2581.24,6266.19,12387.618999999999,13371.66,10473.33
